Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose,Bivalent.Booster.1
2020-12-18,Snyder,58,NA,NA,NA,NA
2020-12-18,Somerset,83,NA,NA,NA,NA
2020-12-18,Sullivan,1,NA,NA,NA,NA
2020-12-18,Susquehanna,1,NA,NA,NA,NA
2020-12-18,Tioga,2,NA,NA,NA,NA
2022-09-07,Luzerne,26,6,2,NA,176
2021-04-28,Beaver,333,1356,NA,NA,NA
2020-12-18,Warren,12,NA,NA,NA,NA
2021-04-22,Clearfield,165,172,NA,NA,NA
2020-12-18,Wayne,9,NA,NA,NA,NA
2021-11-09,Schuylkill,148,46,689,NA,NA
2020-12-18,Wyoming,7,NA,NA,NA,NA
2020-12-18,York,144,NA,NA,NA,NA
2021-01-14,Bradford,144,8,NA,NA,NA
2020-12-19,Adams,9,NA,NA,NA,NA
2020-12-19,Armstrong,23,NA,NA,NA,NA
2020-12-19,Beaver,16,NA,NA,NA,NA
2020-12-19,Bedford,3,NA,NA,NA,NA
2020-12-19,Berks,33,NA,NA,NA,NA
2020-12-19,Blair,48,NA,NA,NA,NA
2020-12-19,Bradford,50,NA,NA,NA,NA
2022-11-17,Lancaster,23,18,NA,NA,763
2020-12-19,Cambria,19,NA,NA,NA,NA
2020-12-19,Carbon,35,NA,NA,NA,NA
2020-12-19,Centre,154,NA,NA,NA,NA
2020-12-19,Chester,396,NA,NA,NA,NA
2020-12-19,Clarion,20,NA,NA,NA,NA
2020-12-19,Clearfield,27,NA,NA,NA,NA
2020-12-19,Clinton,14,NA,NA,NA,NA
2020-12-19,Columbia,89,NA,NA,NA,NA
2020-12-19,Cumberland,31,NA,NA,NA,NA
2020-12-19,Dauphin,19,NA,NA,NA,NA
2020-12-19,Delaware,393,1,NA,NA,NA
2020-12-19,Elk,1,NA,NA,NA,NA
2020-12-19,Fayette,105,NA,NA,NA,NA
2020-12-19,Forest,4,NA,NA,NA,NA
2020-12-19,Franklin,131,NA,NA,NA,NA
2020-12-19,Greene,1,NA,NA,NA,NA
2020-12-19,Huntingdon,10,NA,NA,NA,NA
2020-12-19,Indiana,31,NA,NA,NA,NA
2020-12-19,Jefferson,4,NA,NA,NA,NA
2020-12-19,Juniata,2,NA,NA,NA,NA
2023-02-11,Philadelphia,44,29,47,NA,120
2020-12-19,Lancaster,156,NA,NA,NA,NA
2020-12-19,Lawrence,10,NA,NA,NA,NA
2020-12-19,Lebanon,68,NA,NA,NA,NA
2022-11-20,Philadelphia,96,94,93,NA,439
2022-02-27,Centre,4,5,8,NA,NA
2020-12-19,Lycoming,130,NA,NA,NA,NA
2020-12-19,Mifflin,25,NA,NA,NA,NA
2020-12-19,Monroe,51,NA,NA,NA,NA
2020-12-19,Montgomery,412,NA,NA,NA,NA
2020-12-19,Montour,210,NA,NA,NA,NA
2022-10-23,Mercer,1,1,NA,NA,43
2020-12-19,Northumberland,78,NA,NA,NA,NA
2021-12-29,York,548,315,1413,NA,NA
2020-12-19,Pike,3,NA,NA,NA,NA
2020-12-19,Potter,1,NA,NA,NA,NA
2020-12-19,Schuylkill,30,NA,NA,NA,NA
2020-12-19,Snyder,13,NA,NA,NA,NA
2020-12-19,Somerset,11,NA,NA,NA,NA
2020-12-19,Susquehanna,5,NA,NA,NA,NA
2020-12-19,Tioga,4,NA,NA,NA,NA
2020-12-19,Union,52,NA,NA,NA,NA
2020-12-19,Venango,40,NA,NA,NA,NA
2020-12-19,Warren,14,NA,NA,NA,NA
2020-12-19,Washington,86,NA,NA,NA,NA
2022-09-20,Butler,18,11,4,NA,380
2022-11-21,Luzerne,7,NA,NA,NA,274
2020-12-19,Wyoming,5,NA,NA,NA,NA
2020-12-30,Wayne,107,NA,NA,NA,NA
2020-12-20,Adams,12,NA,NA,NA,NA
2020-12-20,Armstrong,9,NA,NA,NA,NA
2020-12-20,Beaver,20,NA,NA,NA,NA
2020-12-20,Berks,80,NA,NA,NA,NA
2020-12-20,Blair,7,NA,NA,NA,NA
2023-06-19,Erie,2,1,NA,NA,5
2020-12-20,Butler,32,NA,NA,NA,NA
2020-12-20,Cambria,10,NA,NA,NA,NA
2022-05-27,Beaver,20,21,29,92,NA
2020-12-20,Centre,47,NA,NA,NA,NA
2020-12-20,Clarion,4,NA,NA,NA,NA
2020-12-20,Clearfield,6,NA,NA,NA,NA
2020-12-20,Clinton,13,NA,NA,NA,NA
2020-12-20,Columbia,54,NA,NA,NA,NA
2020-12-20,Crawford,5,NA,NA,NA,NA
2020-12-20,Cumberland,163,NA,NA,NA,NA
2020-12-20,Delaware,316,1,NA,NA,NA
2020-12-20,Elk,1,NA,NA,NA,NA
2020-12-20,Fayette,3,NA,NA,NA,NA
2020-12-20,Franklin,4,NA,NA,NA,NA
2020-12-20,Huntingdon,4,NA,NA,NA,NA
2020-12-20,Indiana,4,NA,NA,NA,NA
2020-12-20,Jefferson,2,NA,NA,NA,NA
2020-12-20,Juniata,2,NA,NA,NA,NA
2020-12-20,Lancaster,195,NA,NA,NA,NA
2020-12-20,Lebanon,19,NA,NA,NA,NA
2023-01-07,Franklin,2,1,NA,NA,23
2021-04-22,Pike,154,409,NA,NA,NA
2020-12-20,Lycoming,19,NA,NA,NA,NA
2020-12-20,Mifflin,26,NA,NA,NA,NA
2020-12-20,Monroe,53,NA,NA,NA,NA
2020-12-19,Crawford,432,NA,NA,NA,NA
2020-12-20,Montour,62,NA,NA,NA,NA
2020-12-20,Northampton,231,NA,NA,NA,NA
2020-12-20,Northumberland,42,NA,NA,NA,NA
2020-12-20,Perry,17,NA,NA,NA,NA
2021-06-22,Northumberland,69,129,NA,NA,NA
2020-12-20,Pike,3,NA,NA,NA,NA
2020-12-20,Schuylkill,20,NA,NA,NA,NA
2020-12-20,Snyder,11,NA,NA,NA,NA
2020-12-20,Somerset,14,NA,NA,NA,NA
2020-12-20,Susquehanna,4,NA,NA,NA,NA
2020-12-20,Tioga,1,NA,NA,NA,NA
2020-12-20,Union,20,NA,NA,NA,NA
2020-12-20,Venango,1,NA,NA,NA,NA
2020-12-20,Washington,26,NA,NA,NA,NA
2020-12-20,Wayne,13,NA,NA,NA,NA
2020-12-20,Wyoming,6,NA,NA,NA,NA
2020-12-20,York,88,NA,NA,NA,NA
2020-12-21,Adams,59,NA,NA,NA,NA
2022-01-08,Chester,675,372,1459,NA,NA
2020-12-21,Armstrong,89,NA,NA,NA,NA
2020-12-21,Beaver,168,NA,NA,NA,NA
2020-12-21,Bedford,20,NA,NA,NA,NA
2022-01-31,Columbia,16,20,40,NA,NA
2020-12-21,Blair,154,NA,NA,NA,NA
2020-12-21,Bradford,101,NA,NA,NA,NA
2022-01-15,Schuylkill,75,22,137,NA,NA
2020-12-21,Cambria,223,NA,NA,NA,NA
2020-12-21,Cameron,3,NA,NA,NA,NA
2022-10-17,Northampton,15,15,NA,NA,585
2020-12-21,Clarion,18,NA,NA,NA,NA
2021-08-27,Delaware,486,553,133,NA,NA
2020-12-21,Clinton,26,NA,NA,NA,NA
2020-12-21,Columbia,28,NA,NA,NA,NA
2022-05-16,Monroe,21,21,10,59,NA
2022-08-12,Lancaster,80,41,97,150,NA
2020-12-21,Elk,91,NA,NA,NA,NA
2020-12-21,Forest,7,NA,NA,NA,NA
2020-12-23,Chester,760,NA,NA,NA,NA
2020-12-21,Fulton,2,NA,NA,NA,NA
2020-12-21,Greene,12,NA,NA,NA,NA
2020-12-21,Huntingdon,102,NA,NA,NA,NA
2020-12-21,Indiana,157,NA,NA,NA,NA
2020-12-21,Jefferson,127,NA,NA,NA,NA
2020-12-21,Juniata,13,NA,NA,NA,NA
2021-06-25,Dauphin,245,320,NA,NA,NA
2020-12-21,Lawrence,76,NA,NA,NA,NA
2020-12-21,Lebanon,33,NA,NA,NA,NA
2021-12-14,Centre,169,97,702,NA,NA
2020-12-21,Lycoming,144,NA,NA,NA,NA
2020-12-21,McKean,34,NA,NA,NA,NA
2020-12-21,Mercer,176,NA,NA,NA,NA
2020-12-21,Mifflin,48,NA,NA,NA,NA
2020-12-21,Monroe,61,NA,NA,NA,NA
2023-06-27,Cumberland,NA,NA,NA,NA,4
2020-12-21,Montour,40,NA,NA,NA,NA
2020-12-21,Northampton,340,NA,NA,NA,NA
2020-12-21,Northumberland,90,NA,NA,NA,NA
2020-12-21,Perry,13,NA,NA,NA,NA
2021-12-17,Snyder,39,24,98,NA,NA
2020-12-21,Pike,7,NA,NA,NA,NA
2020-12-21,Potter,32,NA,NA,NA,NA
2020-12-21,Schuylkill,39,NA,NA,NA,NA
2020-12-21,Somerset,114,NA,NA,NA,NA
2020-12-21,Sullivan,4,NA,NA,NA,NA
2020-12-21,Susquehanna,8,NA,NA,NA,NA
2023-04-29,Chester,1,NA,NA,NA,29
2021-12-13,Lackawanna,223,109,655,NA,NA
2020-12-21,Venango,155,NA,NA,NA,NA
2020-12-21,Warren,12,NA,NA,NA,NA
2020-12-21,Wayne,21,NA,NA,NA,NA
2022-01-13,Northampton,250,149,550,NA,NA
2020-12-21,Wyoming,20,NA,NA,NA,NA
2022-11-15,Pike,NA,3,NA,NA,74
2020-12-22,Adams,75,NA,NA,NA,NA
2020-12-22,Armstrong,111,NA,NA,NA,NA
2020-12-22,Beaver,180,NA,NA,NA,NA
2020-12-22,Bedford,21,NA,NA,NA,NA
2020-12-22,Berks,424,NA,NA,NA,NA
2020-12-22,Bradford,89,NA,NA,NA,NA
2020-12-22,Cambria,272,NA,NA,NA,NA
2020-12-22,Cameron,6,NA,NA,NA,NA
2020-12-22,Carbon,77,NA,NA,NA,NA
2021-02-07,Bradford,6,4,NA,NA,NA
2020-12-22,Clarion,77,NA,NA,NA,NA
2020-12-22,Clearfield,233,NA,NA,NA,NA
2020-12-22,Clinton,42,NA,NA,NA,NA
2020-12-22,Crawford,102,NA,NA,NA,NA
2020-12-22,Cumberland,420,NA,NA,NA,NA
2022-01-13,Wyoming,37,9,75,NA,NA
2020-12-22,Elk,106,NA,NA,NA,NA
2021-12-20,Clinton,32,17,94,NA,NA
2020-12-22,Fayette,285,NA,NA,NA,NA
2020-12-22,Forest,9,NA,NA,NA,NA
2020-12-22,Franklin,113,NA,NA,NA,NA
2020-12-22,Fulton,4,NA,NA,NA,NA
2021-03-22,Cumberland,587,517,NA,NA,NA
2020-12-22,Huntingdon,84,NA,NA,NA,NA
2021-08-11,Chester,447,332,NA,NA,NA
2020-12-22,Jefferson,178,NA,NA,NA,NA
2020-12-22,Juniata,12,NA,NA,NA,NA
2022-05-06,Centre,43,16,31,137,NA
2021-08-12,Venango,30,29,NA,NA,NA
2021-10-27,Somerset,45,22,315,NA,NA
2020-12-22,Lebanon,141,NA,NA,NA,NA
2021-03-28,Cumberland,347,209,NA,NA,NA
2021-09-21,Bucks,277,415,198,NA,NA
2020-12-22,Mercer,178,NA,NA,NA,NA
2021-11-10,Carbon,79,26,233,NA,NA
2020-12-22,Monroe,155,NA,NA,NA,NA
2020-12-22,Montour,78,NA,NA,NA,NA
2022-04-26,Bucks,197,189,132,586,NA
2020-12-22,Perry,31,NA,NA,NA,NA
2021-02-06,Westmoreland,960,727,NA,NA,NA
2021-03-04,Monroe,465,352,NA,NA,NA
2020-12-22,Potter,29,NA,NA,NA,NA
2020-12-22,Schuylkill,193,NA,NA,NA,NA
2022-02-17,Westmoreland,57,98,112,NA,NA
2020-12-22,Somerset,77,NA,NA,NA,NA
2020-12-22,Sullivan,3,NA,NA,NA,NA
2020-12-22,Tioga,48,NA,NA,NA,NA
2020-12-22,Union,33,NA,NA,NA,NA
2020-12-22,Warren,82,NA,NA,NA,NA
2021-04-24,Luzerne,827,616,NA,NA,NA
2020-12-22,Wyoming,16,NA,NA,NA,NA
2021-12-05,Fayette,73,35,122,NA,NA
2021-02-03,Allegheny,4098,2015,NA,NA,NA
2020-12-23,Adams,53,NA,NA,NA,NA
2020-12-23,Armstrong,129,NA,NA,NA,NA
2020-12-23,Bedford,39,NA,NA,NA,NA
2020-12-23,Berks,443,NA,NA,NA,NA
2020-12-23,Blair,200,NA,NA,NA,NA
2020-12-23,Bradford,105,NA,NA,NA,NA
2022-10-11,Erie,11,23,4,NA,487
2021-08-20,Northampton,337,338,226,NA,NA
2020-12-23,Cambria,238,NA,NA,NA,NA
2020-12-23,Cameron,6,NA,NA,NA,NA
2020-12-23,Carbon,186,NA,NA,NA,NA
2020-12-23,Centre,166,NA,NA,NA,NA
2021-10-05,Lehigh,165,223,309,NA,NA
2020-12-23,Clarion,100,NA,NA,NA,NA
2020-12-23,Clearfield,66,NA,NA,NA,NA
2020-12-23,Clinton,22,NA,NA,NA,NA
2020-12-23,Columbia,110,NA,NA,NA,NA
2020-12-23,Crawford,26,NA,NA,NA,NA
2020-12-27,Carbon,24,NA,NA,NA,NA
2020-12-23,Elk,19,NA,NA,NA,NA
2020-12-23,Forest,42,NA,NA,NA,NA
2020-12-23,Franklin,118,NA,NA,NA,NA
2020-12-23,Fulton,23,NA,NA,NA,NA
2020-12-23,Greene,43,NA,NA,NA,NA
2020-12-23,Huntingdon,24,NA,NA,NA,NA
2020-12-23,Jefferson,74,NA,NA,NA,NA
2020-12-23,Juniata,11,NA,NA,NA,NA
2022-02-24,Centre,27,30,47,NA,NA
2020-12-23,Lawrence,66,NA,NA,NA,NA
2020-12-23,Lebanon,90,NA,NA,NA,NA
2022-08-01,Montgomery,229,111,150,218,NA
2021-12-13,Berks,426,331,1323,NA,NA
2020-12-23,Lycoming,109,NA,NA,NA,NA
