Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Election,ELK,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"4,674",0,0,"3,069",0,0,"1,591",0,0,14,0,0
2024 Presidential Election,ELK,United States Senator,Statewide,Republican,DAVE MCCORMICK,"11,931",0,0,"10,207",0,0,"1,689",0,0,35,0,0
2024 Presidential Election,ERIE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"67,456",0,0,"41,600",0,0,"24,728",0,0,"1,128",0,0
2024 Presidential Election,ERIE,President of the United States,Statewide,Republican,DONALD J TRUMP,"68,866",0,0,"56,487",0,0,"11,442",0,0,937,0,0
2024 Presidential Election,ERIE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"67,868",0,0,"42,050",0,0,"24,721",0,0,"1,097",0,0
2024 Presidential Election,ERIE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"65,603",0,0,"53,720",0,0,"11,017",0,0,866,0,0
2024 Presidential Election,FAYETTE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"19,548",0,0,"11,527",0,0,"7,850",0,0,171,0,0
2024 Presidential Election,FAYETTE,President of the United States,Statewide,Republican,DONALD J TRUMP,"43,633",0,0,"37,089",0,0,"6,193",0,0,351,0,0
2024 Presidential Election,FAYETTE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"20,752",0,0,"12,542",0,0,"8,028",0,0,182,0,0
2024 Presidential Election,FAYETTE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"40,804",0,0,"34,796",0,0,"5,699",0,0,309,0,0
2024 Presidential Election,FOREST,President of the United States,Statewide,Democratic,KAMALA D HARRIS,724,0,0,437,0,0,282,0,0,5,0,0
2024 Presidential Election,FOREST,President of the United States,Statewide,Republican,DONALD J TRUMP,"1,902",0,0,"1,583",0,0,314,0,0,5,0,0
2024 Presidential Election,FOREST,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,741,0,0,450,0,0,285,0,0,6,0,0
2024 Presidential Election,FOREST,United States Senator,Statewide,Republican,DAVE MCCORMICK,"1,808",0,0,"1,503",0,0,301,0,0,4,0,0
2024 Presidential Election,FRANKLIN,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"23,543",0,0,"14,301",0,0,"9,109",0,0,133,0,0
2024 Presidential Election,FRANKLIN,President of the United States,Statewide,Republican,DONALD J TRUMP,"59,604",0,0,"48,127",0,0,"11,312",0,0,165,0,0
2024 Presidential Election,FRANKLIN,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"23,591",0,0,"14,493",0,0,"8,971",0,0,127,0,0
2024 Presidential Election,FRANKLIN,United States Senator,Statewide,Republican,DAVE MCCORMICK,"57,217",0,0,"46,056",0,0,"10,997",0,0,164,0,0
2024 Presidential Election,FULTON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"1,102",0,0,715,0,0,374,0,0,13,0,0
2024 Presidential Election,FULTON,President of the United States,Statewide,Republican,DONALD J TRUMP,"7,039",0,0,"6,059",0,0,942,0,0,38,0,0
2024 Presidential Election,FULTON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"1,197",0,0,805,0,0,375,0,0,17,0,0
2024 Presidential Election,FULTON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"6,773",0,0,"5,799",0,0,941,0,0,33,0,0
2024 Presidential Election,GREENE,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"4,592",0,0,"2,802",0,0,"1,765",0,0,25,0,0
2024 Presidential Election,GREENE,President of the United States,Statewide,Republican,DONALD J TRUMP,"12,319",0,0,"10,649",0,0,"1,627",0,0,43,0,0
2024 Presidential Election,GREENE,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"5,075",0,0,"3,206",0,0,"1,843",0,0,26,0,0
2024 Presidential Election,GREENE,United States Senator,Statewide,Republican,DAVE MCCORMICK,"11,643",0,0,"10,109",0,0,"1,494",0,0,40,0,0
2024 Presidential Election,HUNTINGDON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"5,368",0,0,"3,591",0,0,"1,745",0,0,32,0,0
2024 Presidential Election,HUNTINGDON,President of the United States,Statewide,Republican,DONALD J TRUMP,"17,627",0,0,"15,373",0,0,"2,190",0,0,64,0,0
2024 Presidential Election,HUNTINGDON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"5,582",0,0,"3,787",0,0,"1,764",0,0,31,0,0
2024 Presidential Election,HUNTINGDON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"16,910",0,0,"14,737",0,0,"2,114",0,0,59,0,0
2024 Presidential Election,INDIANA,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"12,697",0,0,"7,846",0,0,"4,771",0,0,80,0,0
2024 Presidential Election,INDIANA,President of the United States,Statewide,Republican,DONALD J TRUMP,"29,215",0,0,"24,660",0,0,"4,458",0,0,97,0,0
2024 Presidential Election,INDIANA,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"13,181",0,0,"8,299",0,0,"4,797",0,0,85,0,0
2024 Presidential Election,INDIANA,United States Senator,Statewide,Republican,DAVE MCCORMICK,"27,881",0,0,"23,488",0,0,"4,312",0,0,81,0,0
2024 Presidential Election,JEFFERSON,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"4,707",0,0,"2,998",0,0,"1,700",0,0,9,0,0
2024 Presidential Election,JEFFERSON,President of the United States,Statewide,Republican,DONALD J TRUMP,"18,235",0,0,"15,387",0,0,"2,812",0,0,36,0,0
2024 Presidential Election,JEFFERSON,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"4,834",0,0,"3,135",0,0,"1,691",0,0,8,0,0
2024 Presidential Election,JEFFERSON,United States Senator,Statewide,Republican,DAVE MCCORMICK,"17,618",0,0,"14,838",0,0,"2,744",0,0,36,0,0
2024 Presidential Election,JUNIATA,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"2,290",0,0,"1,489",0,0,796,0,0,5,0,0
2024 Presidential Election,JUNIATA,President of the United States,Statewide,Republican,DONALD J TRUMP,"9,721",0,0,"8,308",0,0,"1,381",0,0,32,0,0
2024 Presidential Election,JUNIATA,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"2,478",0,0,"1,667",0,0,805,0,0,6,0,0
2024 Presidential Election,JUNIATA,United States Senator,Statewide,Republican,DAVE MCCORMICK,"9,251",0,0,"7,896",0,0,"1,324",0,0,31,0,0
2024 Presidential Election,LACKAWANNA,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"59,510",0,0,"38,410",0,0,"20,728",0,0,372,0,0
2024 Presidential Election,LACKAWANNA,President of the United States,Statewide,Republican,DONALD J TRUMP,"56,261",0,0,"45,790",0,0,"10,070",0,0,401,0,0
2024 Presidential Election,LACKAWANNA,United States Senator,Statewide,Democratic,ROBERT P CASEY JR,"61,653",0,0,"40,214",0,0,"21,074",0,0,365,0,0
2024 Presidential Election,LACKAWANNA,United States Senator,Statewide,Republican,DAVE MCCORMICK,"51,944",0,0,"42,296",0,0,"9,282",0,0,366,0,0
2024 Presidential Election,LANCASTER,President of the United States,Statewide,Democratic,KAMALA D HARRIS,"120,119",0,0,"79,423",0,0,"39,080",0,0,"1,616",0,0
